prefLabel (English),Translation prefLabel (Spanish),Identifier,altLabel (English),Translation altLabel (Spanish),Description/Scope Note (English),Description/Scope Note (Spanish),translationNote,historyNote (English),historyNote (Spanish),"Comments (Ernesto, postdoc)"
Pacific Islander American asexual people,Personas asexuales del Pacífico estadounidenses,homoit0002926,Pacific Islander asexual people,Personas del Pacífico estadounidenses asexuales,Asexual people who identify as both Pacific Islanders (or of Pacific Islander ancestry) and American.,Personas asexuales que se identifican como isleñas del Pacífico (o de ascendencia isleña del Pacífico) y estadounidenses. ,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Pacific Islander American bisexual people,Personas bisexuales del Pacífico estadounidenses,homoit0001939,"Bisexual Pacific Islander American people||
Bisexual Pacific Islander Americans",Personas del Pacífico estadounidenses bisexuales,Bisexual people who identify as both Pacific Islanders (or of Pacific Islander ancestry) and American.,Personas bisexuales que se identifican a la vez como isleñas del Pacífico (o de ascendencia isleña del Pacífico) y estadounidenses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Pacific Islander American gay men,Hombres gay del Pacífico estadounidenses,homoit0001938,"Gay Pacific Islander American men||
Gay Pacific Islander Americans",Hombres del Pacífico estadounidenses gay,Gay men who identify as both Pacific Islanders (or of Pacific Islander ancestry) and American.,Hombres gay que se identifican a la vez como isleños del Pacífico (o de ascendencia isleña del Pacífico) y estadounidenses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Pacific Islander American intersex people,Personas intersexuales del Pacífico estadounidenses,homoit0001942,"Intersex Pacific Islander American people||
Intersex Pacific Islander Americans",Personas intersex del Pacífico estadounidenses,Intersex people who identify as both Pacific Islanders (or of Pacific Islander ancestry) and American.,Personas intersexuales que se identifican a la vez como isleñas del Pacífico (o de ascendencia isleña del Pacífico) y estadounidenses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Pacific Islander American lesbians,Lesbianas del Pacífico estadounidenses,homoit0001937,Lesbian Pacific Islander Americans,Personas del Pacífico estadounidenses lesbianas,Lesbians who identify as both Pacific Islanders (or of Pacific Islander ancestry) and American.,Lesbianas que se identifican a la vez como isleñas del Pacífico (o de ascendencia isleña del Pacífico) y estadounidenses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Pacific Islander American LGBTQ+ people,Personas LGBTQ+ del Pacífico estadounidenses,homoit0001812,"AAPI LGBTQ+ people||
LGBTQ+ AAPIs||
LGBTQ+ Pacific Islander American people||
LGBTQ+ Pacific Islander Americans||
Pacific Islander American people (LGBTQ)||
Pacific Islander Americans (LGBTQ)",Personas del Pacífico estadounidenses LGBTQ+,LGBTQ+ people who identify as both Pacific Islanders (or of Pacific Islander ancestry) and American.,Personas LGBTQ+ que se identifican a la vez como isleñas del Pacífico (o de ascendencia isleña del Pacífico) y estadounidenses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Pacific Islander American queer people,Personas queer del Pacífico estadounidenses,homoit0001941,"Queer Pacific Islander American people||
Queer Pacific Islander Americans",Personas del Pacífico estadounidenses queer,Queer people who identify as both Pacific Islanders (or of Pacific Islander ancestry) and American.,Personas queer que se identifican a la vez como isleñas del Pacífico (o de ascendencia isleña del Pacífico) y estadounidenses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Pacific Islander American transgender people,Personas transgénero del Pacífico estadounidense,homoit0001940,"Transgender Pacific Islander American people||
Transgender Pacific Islander Americans",Personas del Pacífico estadounidense transgénero,Transgender people who identify as both Pacific Islanders (or of Pacific Islander ancestry) and American.,Personas transgénero que se identifican a la vez como isleñas del Pacífico (o de ascendencia isleña del Pacífico) y estadounidenses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Packers (Phallus),Packers ,homoit0001790,,Prótesis de pene,Padding or phallic objects designed to be worn in the front of an individual's pants or underwear to give the appearance of having a bulge.,Objetos acolchados o fálicos diseñados para usarse en la parte delantera de los pantalones o la ropa interior de una persona para dar la apariencia de tener un protuberancia.,,,,
Packing (Phallus),Packing,homoit0001067,,Abultar ,The act of wearing padding or a phallic object in the front of the pants or underwear to give the appearance of having a bulge.,El acto de llevar acolchado o un objeto fálico en la parte delantera de los pantalones o la ropa interior de una persona para dar la apariencia de tener un protuberancia.,,,,
Paddling,,homoit0003075,,,Striking a body with a paddle as a form of impact play.,Golpear un cuerpo con una paleta como forma de juego de impacto.,,,,
Pairings in fandom,Emparejamiento en fandom,homoit0002189,Fandom pairings,,"The relationships (primarily romantic or sexual) between characters in fanworks, including relationships that are not present within the canon text.","Las relaciones (principalmente románticas o sexuales) entre personajes de obras de fans, incluidas las relaciones que no están presentes en el texto canónico.",,,,
Palao'ana,Palao'ana,homoit0001070,,,Chamorro (Mariana Islands) term for third gender people.,Término chamorro (Islas Marianas) para personas del tercer género.,,,,
Pangender identity,Identidad pangénero,homoit0001071,,,Gender identity that encompasses multiple or all genders.,Identidad de género que abarca múltiples o todos los géneros.,,,,
Pangender people,Personas pangénero,homoit0001072,,,People who identify as multiple or all genders.,Personas que se identifican como de múltiples o todos los géneros.,,,,
Panromantic people,Personas panrománticas ,homoit0001827,,,Individuals who experience romantic attraction or romantic desire toward others in a frequent and consistent manner irrespective of sex or gender.,"Personas que experimentan atracción romántica o deseo romántico hacia otras personas de manera frecuente y consistente, independientemente de su sexo o género.",,,,
Panromanticism,Panromanticismo,homoit0001795,,,A romantic orientation characterized by the occurrence of romantic attraction or romantic desire in a frequent and consistent manner irrespective of sex or gender.,"Una orientación romántica caracterizada por la ocurrencia de atracción romántica o deseo romántico de manera frecuente y consistente, independientemente del sexo o género.",,,,
Pansexual people,Personas pansexuales,homoit0001073,Omnisexual,Omnisexual ,"Individuals who self-identify as pansexual, meaning that they are sexually attracted to people of all genders. Some but not all pansexual people also identify as ""gender-blind"" because gender is insignificant or irrelevant in determining their attraction.","Personas que se identifican como pansexuales, lo que significa que se sienten atraídas sexualmente por personas de todos los géneros. Algunas personas pansexuales, pero no todas, también se identifican como ""ciegas al género"", porque el género les es insignificante o irrelevante para determinar su atracción.",,,,
Pansexuality,Pansexualidad,homoit0001926,,,Sexual identity used to describe sexual and/or romantic attraction to people of all genders.,Identidad sexual utilizada para describir la atracción sexual y/o romántica hacia personas de todos los géneros.,,,,
Papuan asexual people,Personas asexuales papúes ,homoit0002927,"Asexual Papuan people||
Asexual Papuans",Personas papúes asexuales,"Asexual people who are Papuan, or part of the Indigenous peoples of new Guinea; only use for people who identify as Papuan.",Personas asexuales que son papúes o parte de los pueblos indígenas de Nueva Guinea. Utilícese únicamente para personas que se autoidentifiquen como papúes.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Papuan bisexual people,Personas bisexuales papúes ,homoit0001945,"Bisexual Papuan people||
Bisexual Papuans",Personas papúes bisexuales,"Bisexual people who are Papuan, or part of the Indigenous peoples of new Guinea; only use for people who identify as Papuan.",Personas bisexuales que son papúes o parte de los pueblos indígenas de Nueva Guinea. Utilícese únicamente para personas que se autoidentifiquen como papúes.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Papuan gay men,Hombres gay papúes ,homoit0001944,"Gay Papuan men||
Gay Papuans",Hombres papúes gay ,"Gay men who are Papuan, or part of the Indigenous peoples of new Guinea; only use for people who identify as Papuan.",Hombres gay que son papúes o parte de los pueblos indígenas de Nueva Guinea. Utilícese únicamente para personas que se autoidentifiquen como papúes.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Papuan intersex people,Personas intersexuales papúes ,homoit0001948,"Intersex Papuan people||
Intersex Papuans",Personas intersex papúes || Personas papúes intersexuales ,"Intersex people who are Papuan, or part of the Indigenous peoples of new Guinea; only use for people who identify as Papuan.",Personas intersexuales que son papúes o parte de los pueblos indígenas de Nueva Guinea. Utilícese únicamente para personas que se autoidentifiquen como papúes.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Papuan lesbians,Lesbianas papúes ,homoit0001943,Lesbian Papuans,Papúes lesbianas ,"Lesbians who are Papuan, or part of the Indigenous peoples of new Guinea; only use for people who identify as Papuan.",Lesbianas que son papúes o parte de los pueblos indígenas de Nueva Guinea. Utilícese únicamente para personas que se autoidentifiquen como papúes.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Papuan LGBTQ+ people,Personas LGBTQ+ papúes ,homoit0000913,"LGBTQ+ Papuan people||
LGBTQ+ Papuans||
Papuan people (LGBTQ)||
Papuans (LGBTQ)",Personas papúes LGBTQ+,"LGBTQ+ people who are Papuan, or part of the Indigenous peoples of new Guinea; only use for people who identify as Papuan.",Personas LGBTQ+ que son papúes o parte de los pueblos indígenas de Nueva Guinea. Utilícese únicamente para personas que se autoidentifiquen como papúes.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Papuan queer people,Personas queer papúes ,homoit0001947,"Queer Papuan people||
Queer Papuans",Personas papúes queer ,"Queer people who are Papuan, or part of the Indigenous peoples of new Guinea; only use for people who identify as Papuan.",Personas queer que son papúes o parte de los pueblos indígenas de Nueva Guinea. Utilícese únicamente para personas que se autoidentifiquen como papúes.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Papuan transgender people,Personas transgénero papúes ,homoit0001946,"Transgender Papuan people||
Transgender Papuans",Personas papúes transgénero ,"Transgender people who are Papuan, or part of the Indigenous peoples of new Guinea; only use for people who identify as Papuan.",Personas transgénero que son papúes o parte de los pueblos indígenas de Nueva Guinea. Utilícese únicamente para personas que se autoidentifiquen como papúes.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Paramours,Paramours,homoit0001662,,,"In polyamory contexts, paramours are the partners of an individual's partner, typically as part of a relationship the primary partner is unaware of. In other contexts, this term is used broadly as a synonym for lovers.","En contextos polyamoros, los paramours son lo",,,,
Parental rights,Derechos parentales,homoit0001074,,,"The legal parent-child relationship that may be established by biological relations, at birth, or through adoption. These rights may include child custody and visitation, decision-making authority, and informational access.","La relación legal padres-hijo que puede establecerse por relaciones biológicas, por nacimiento o por adopción. Estos derechos pueden incluir la custodia y el régimen de visitas, la toma de decisiones y el acceso a la información.",,,,"--> Check GNL SN ES ""padres-hijo"""
Parents,Madres y padres,homoit0002372,,,People who act as parents to one or more people.,Personas que actúan como padres y/o madres de una o más personas.,,,,"--> Check GNL for ""padres"" in the sense of ""parents"", maybe ""madres y padres""?"
Parents of asexual people,Madres y padres de personas asexuales,homoit0002910,Asexual people's parents,Padres de personas asexuales || Madres de personas asexuales,"People who act as parents to one or more asexual person. For parents who are themselves asexual, use the term ""Asexual parents.""","Personas que actúan como padres de una o más personas asexuales. Para padres que son asexuales, utilice el término ""madres y padres asexuales"".",,,,"--> Check GNL for ""padres"" in the sense of ""parents"", maybe ""madres y padres""?"
Parents of bisexual people,Madres y padres de personas bisexuales,homoit0000173,Bisexual people’s parents,Padres de personas bisexuales || Madres de personas bisexuales,"People who act as parents to one or more bisexual person. For parents who are themselves bisexual, use the term ""Bisexual parents.""","Personas que actúan como padres de una o más personas bisexuales. Para padres que son bisexuales, utilice el término ""madres y padres bisexuales"".",,,,"--> Check GNL for ""padres"" in the sense of ""parents"", maybe ""madres y padres""?"
Parents of crossdressers,Madres y padres de transformistas,homoit0001076,,Madres de transformistas || Padres de transformistas,People who act as parents to one or more crossdresser. Only use to describe the parents of someone who self-identifies as a crossdresser.,Personas que actúan como padres de uno o más transformistas. Utilícese únicamente para describir a los padres de alguien que se autoidentifican como transformistas.,,,,"--> Check GNL for ""padres"" in the sense of ""parents"", maybe ""madres y padres""?"
Parents of gay men,Madres y padres de hombres gay,homoit0000509,Gay men's parents,Madres de hombres gay || Padres de hombres gay,"People who act as parents to one or more gay man. For parents who are themselves gay, use the term ""Gay parents.""","Personas que actúan como padres de uno o más hombres gay. Para padres que son gay, utilice el término ""madres y padres gay"".",,,,"--> Check GNL for ""padres"" in the sense of ""parents"", maybe ""madres y padres""?"
Parents of intersex people,Madres y padres de personas intersexuales,homoit0002742,Intersex people's parents,Padres de intersexuales || Padres de personas intersex,"People who act as parents to one or more intersex person. For parents who are themselves intersex, use the term ""intersex parents.""","Personas que actúan como padres de una o más personas intersexuales. Para padres que son intersexuales, utilice el término ""madres y padres intersexuales"".",,,,"--> Check GNL for ""padres"" in the sense of ""parents"", maybe ""madres y padres""?"
Parents of lesbians,Madres y padres de lesbianas,homoit0000802,Lesbians' parents,Madres de lesbianas || Padres de lesbianas,"People who act as parents to one or more lesbian. For parents who are themselves lesbians, use the term ""Lesbian parents.""","Personas que actúan como padres de una o más lesbianas. Para padres que son lesbianas, utilice el término ""madres y padres lesbianas"".",,,,"--> Check GNL for ""padres"" in the sense of ""parents"", maybe ""madres y padres""?"
Parents of LGBTQ+ people,Madres y padres de personas LGBTQ+,homoit0002224,"LGBTQ people's parents||
LGBTQ+ people's parents||
Parents of LGBTQ people",Padres de personas LGBTQ+ || Madres de personas LGBTQ+,Individuals who have one or more LGBTQ+ child.,"Personas que actúan como padres de una o más personas LGBTQ+. Para padres que son LGBTQ+, utilice el término ""madres y padres LGBTQ+""",,,,"--> Check GNL for ""padres"" in the sense of ""parents"", maybe ""madres y padres""?"
Parents of non-binary people,Madres y padres de personas no binarias,homoit0002225,Non-binary people's parents||Nonbinary people's parents||Parents of nonbinary people,Madres de personas no binarias || Padres de personas no binarias ,Individuals who have one or more non-binary child.,"Personas actual como padres de una o más personas no binarias. Para padres que son non binarios, utilice el término ""madres y padres no binarios""",,,,"--> Check GNL for ""padres"" in the sense of ""parents"", maybe ""madres y padres""?"
Parents of queer people,Madres y padres de personas queer,homoit0001077,Queer people's parents,Madres de personas queer || Padres de personas queer ,"People who act as parents to one or more queer person. For parents who are themselves queer, use the term ""Queer parents.""","Personas que actúan como padres de una o más personas queer. Para los padres que son queer, utilice el término ""madres y padres queer"".",,,,"--> Check GNL for ""padres"" in the sense of ""parents"", maybe ""madres y padres""?"
Parents of transgender people,Padres y madres de personas transgénero,homoit0001078,Transgender people's parents,Padres de personas transgénero || Madres de personas transgénero,"People who act as parents to one or more transgender person. For parents who are themselves transgender, use the term ""Transgender parents.""","Personas que actúan como padres de una o más personas transgénero. Para los padres que son transgénero, utilice el término ""madres y padres transgénero"".",,,,"--> Check GNL for ""padres"" in the sense of ""parents"", maybe ""madres y padres""?"
Partial androgen insensitivity syndrome,Síndrome de insensibilidad andrógena parcial,homoit0001079,PAIS,"SIAP|| 
Síndrome de insensibilidad androgénica parcial|| 
Síndrome de insensibilidad parcial a los andrógeno","People with partial androgen insensitivity (PAIS) have some response to testosterone, but not as much as is typical for people with XY chromosomes without androgen insensitivity. People with PAIS may be born with testes that are undescended or partially descended and with genital differences such as a vaginal opening that is shallower than typical, a phallus that may be perceived as a large clitoris or a small penis, and variations affecting their urethra. They might also be born with genitals that look more like a penis or like a vulva and vagina. In adolescence, people with PAIS may develop some features that are associated with a typical testosterone puberty and others that are associated with a typical estrogen puberty since their body responds to some of the testosterone that their gonads produce while the rest is converted into estrogen.","Las personas con insensibilidad parcial a los andrógenos (PAIS, por sus siglas en inglés) tienen cierta respuesta a la testosterona, pero no tanta como es típica de las personas con cromosomas XY sin insensibilidad a los andrógenos. Las personas con PAIS pueden nacer con testículos no descendidos o parcialmente descendidos y con diferencias genitales, como una apertura vaginal menos profunda de lo normal, un falo que puede percibirse como un clítoris grande o un pene pequeño y variaciones que afectan la uretra. También pueden nacer con genitales que se parecen más a un pene o a una vulva y vagina. En la adolescencia, las personas con PAIS pueden desarrollar algunas características asociadas con una pubertad típica de testosterona y otras asociadas con una pubertad típica de estrógeno, ya que su cuerpo responde a parte de la testosterona que producen sus gónadas mientras el resto se convierte en estrógeno.",,"Term updated in collaboration with interACT: Advocates for Intersex Youth, 2022-2023.","Término actualizado en colaboración con interACT: Advocates for Intersex Youth, 2022-2023.",
Partialism,Parcialismo,,"Body part fetish||
Body part fetishism",,Any of various fetishes regarding a specific part of the body.,Cualquiera de los diversos fetiches relacionados con una parte específica del cuerpo.,,,,
Partner notification,Notificación a la pareja,homoit0001080,,Partner notification,The practice of notifying the sexual partners of a person who has been newly diagnosed with a sexually transmitted infection to inform them that they have been exposed to the infection.,La práctica de notificar a las parejas sexuales de una persona a la que se le ha diagnosticado recientemente una infección de transmisión sexual para informarles que han estado expuestas a la infección.,,,,
Partner preference,Preferencia de pareja,homoit0001081,,,"An enduring pattern of desire for connection and relationships (romantic, sexual, or play) with people of specific identities or within specific relationship orientations (monogamy, polyamory, polygamy).","Un patrón duradero de deseo de conexión y relaciones (románticas, sexuales o de juego) con personas de identidades específicas o dentro de orientaciones relacionales específicas (monogamia, poliamor, poligamia).",,,,
Partner rights,Derechos de pareja ,homoit0001082,,,"Legal, economic, social, and cultural rights afforded to individuals who are in long-term partnerships (e.g., marriage, domestic partnership, civil union) that can include shared health insurance, life insurance benefits, adoption rights, and the authority to make medical and financial decisions on behalf of one's partner.","Derechos legales, económicos, sociales y culturales otorgados a personas que están en parejas a largo plazo (por ejemplo, matrimonio, pareja de hecho, unión civil) que pueden incluir seguro médico compartido, beneficios de seguro de vida, derechos de adopción y la autoridad para tomar decisiones médicas y financieras en nombre de la pareja.",,,,
Partners,Parejas,homoit0002365,,,"People who share a romantic, sexual, or play partnership with another person or people.","Personas que comparten una relación romántica, sexual o de juego con otra persona o personas.",,,,
Partners of asexual people,Parejas de personas asexuales,homoit0002911,,,"People whose sexual, romantic, or play partner is asexual.","Personas cuya pareja sexual, romántica o de juego es asexual.",,,,
Partners of bisexual people,Parejas de personas bisexuales,homoit0001084,,,"People whose sexual, romantic, or play partner is bisexual.","Personas cuya pareja sexual, romántica o de juego es bisexual.",,,,
Partners of crossdressers,Parejas de transformistas ,homoit0001085,,,"People whose sexual, romantic, or play partner is a crossdresser. Only use to describe individuals whose partners self-identify as crossdressers.","Personas cuya pareja sexual, romántica o de juego es transformista. Utilícese únicamente para describir personas cuyas parejas se autoidentifiquen como transformistas.",,,,
Partners of gay men,Parejas de hombres gay ,homoit0001086,,,"People whose sexual, romantic, or play partner is a gay man.","Personas cuya pareja sexual, romántica o de juego es un hombre gay.",,,,
Partners of intersex people,Parejas de personas intersexuales,homoit0002743,,Parejas de personas intersex,"People whose sexual, romantic, or play partner is intersex.","Personas cuya pareja sexual, romántica o de juego es intersexual.",,,,
Partners of lesbians,Parejas de lesbianas,homoit0001087,,,"People whose sexual, romantic, or play partner is a lesbian.","Personas cuya pareja sexual, romántica o de juego es lesbiana.",,,,
Partners of LGBTQ+ people,Parejas de personas LGBTQ+,homoit0002366,,,"Individuals who have one ore more romantic, sexual, or play partner who is LGBTQ+.","Personas que tienen una o más parejas románticas, sexuales o de juego que sean LGBTQ+.",,,,
Partners of queer people,Parejas de personas queer,homoit0001088,,,"People whose sexual, romantic, or play partner is queer.","Personas cuya pareja sexual, romántica o de juego es queer.",,,,
Partners of transgender people,Parejas de personas transgénero ,homoit0001089,,,"People whose sexual, romantic, or play partner is transgender.","Personas cuya pareja sexual, romántica o de juego es transgénero.",,,,
Passing (Gender),Passing (género),homoit0001090,,Pasando || Pasar desapercibido,"An individual's ability to ""pass,"" or be accepted or regarded as a member of the gender they identify with. ""Passing"" has historically been used to describe an individual's ability to ""pass"" as a certain race or ethnicity, though the term was later appropriated by the LGBTQ+ community.","La capacidad de una persona para ""pasar"", ser aceptada o considerada como miembro del género con el que se identifica. ""Pasar"" se ha utilizado históricamente para describir la capacidad de una persona de ""pasar"" como una determinada raza o etnia, aunque eventualmente la comunidad LGBTQ+ se apropió del término.",,,,
Passing (Sexuality),Passing (sexualidad),homoit0001901,"Passing (Sexual identity)||
Passing (Sexual orientation)",Pasando || Pasar desapercibido,"The ability of a person who is not heterosexual to ""pass,"" or be accepted or regarded as heterosexual by others. ""Passing"" has historically been used to describe an individual's ability to ""pass"" as a certain race or ethnicity, though the term was later appropriated by the LGBTQ+ community.","La capacidad de una persona que no es heterosexual de ""pasar"", ser aceptada o considerada heterosexual por otras personas. ""Pasar"" se ha utilizado históricamente para describir la capacidad de una persona de ""pasar"" como una determinada raza o etnia, aunque eventualmente la comunidad LGBTQ+ se apropió del término.",,,,
Passive immune therapy,Inmunoterapia pasiva,homoit0001091,,,A medical treatment in which a person receives laboratory-made antibodies to help fight an infection or disease.,Un tratamiento médico en el que una persona recibe anticuerpos fabricados en laboratorio para ayudar a combatir una infección o enfermedad.,,,,
Passports,Pasaportes,homoit0001092,,,"Official documentation issued by a government that certifies the holder’s identity and citizenship, entitling them to travel under to and from other countries.","Documentación oficial emitida por un gobierno que certifica la identidad y ciudadanía de la persona titular, dándole derecho a viajar hacia y desde otros países.",,,,
Pederasts,Pederastas,homoit0001094,,,Adult men who have sexual and mentor/protégé relationships with adolescent boys. This term has historically been used to describe gay men. Only use in historical contexts.,Hombres adultos que tienen relaciones sexuales y de mentoría/protección con adolescentes hombres. Este término se ha utilizado históricamente para describir a los hombres gay. Utilícese únicamente en contextos históricos.,,,,
Pederasty,Pederastia,homoit0001095,,,Term used to describe the practices of adult men who engage in sexual and mentor/protégé relationships with adolescent boys. This term has historically been used to describe the practices of gay men. Only use in historical contexts.,Término utilizado para describir las prácticas de hombres adultos que mantienen relaciones sexuales y de mentor/pupilo con niños adolescentes. Este término se ha utilizado históricamente para describir las prácticas de los hombres gay. Utilícese únicamente en contextos históricos.,,,,"--> SN ES, consider Ana's comment."
Peep shows,Peep shows,homoit0001096,Peepshows,Peepshows,"Live sex shows or pornographic movies viewed through a small opening or magnifying lens, typically from a coin-operated booth.","Espectáculos de sexo en vivo o películas pornográficas vistas a través de una pequeña apertura o lente de aumento, generalmente desde una cabina que funciona con monedas.",,,,
Peh/Pehm/Pehself (Pronouns),,homoit0001688,"Peh (Pronouns)||
Peh/Pehm/Pehself",,A set of pronouns. Used in this manner: Peh went to the Homosaurus website. I watched pehm browse the Homosaurus. Peh uses the Homosaurus pehself.,,,,,
Penectomy,Penectomía,homoit0001097,,,Surgical removal of the penis.,Extirpación quirúrgica del pene.,,,,
Penile plethysmography,Pletismografía peneana,homoit0001098,"Penile response measurement||
Phallometry",,Assessments of penile tumescence in response to erotic stimuli in order to test an individual's sexual preference or excitement.,Evaluaciones de la tumescencia del pene en respuesta a estímulos eróticos para probar la preferencia o excitación sexual de una persona.,,,,
Penis,Pene,homoit0001099,"Cock||
Dick||
Dong||
Penises||
Phallus||
Prick||
Wang","Pito|| 
Pico|| 
Polla|| 
Bicho|| 
Falo|| 
Pipi",External genital organ.,Órgano genital externo.,,,,
Penoscrotal transposition,Transposición penoscrotal,homoit0002870,,,"People with penoscrotal transposition are born with a different genital configuration than typical, with their penis located below or in the middle of their scrotum instead of above it. Their scrotum might be bifid (split into two halves), and they may also have hypospadias and/or chordee.","Las personas con transposición penoescrotal nacen con una configuración genital diferente a la típica, con el pene ubicado debajo o en el medio del escroto en lugar de encima. Su escroto puede ser bífido (dividido en dos mitades) y también pueden tener hipospadias y/o cordee.",,,,
People of color in fandom,Personas de color en fandom ,homoit0002190,BIPOC in fandom,,The participation and inclusion of people of color in fan communities.,La participación e inclusión de personas de color en las comunidades de fans.,,,,
People with transgender parents,Personas con padres transgénero,homoit0002587,"KOT (Kids of Trans)||
Kids of Trans||
PTP||
People with trans parents||
Transpawn",Hijos de personas transgénero || Hijas de personas transgénero || Hijxs de personas transgénero || Hijos de personas trans || Hijas de personas trans || Hijxs de personas trans || Personas con padres trans,People who have one or more transgender parent or caregiver.,Personas que tienen uno o más padres o cuidadores transgénero.,,,,"--> Check GNL prefLab ES ""padres"" and in SN ES ""padres"" and ""cuidadores"""
Per/Per/Perself (Pronouns),,homoit0001689,"Per (Pronouns)||
Per/Pers/Perself",,A set of pronouns. Used in this manner: Per went to the Homosaurus website. I watched per browse the Homosaurus. Per uses the Homosaurus perself.,,,,,
